pathway;interact1_ensembl;interact2_ensembl
MAPK;ENSG00000006062;ENSG00000109320
MAPK;ENSG00000213341;ENSG00000109320
MAPK;ENSG00000006116;ENSG00000058335
MAPK;ENSG00000006116;ENSG00000172575
MAPK;ENSG00000164305;ENSG00000149269
MAPK;ENSG00000164305;ENSG00000095015
MAPK;ENSG00000006062;ENSG00000213341
MAPK;ENSG00000100324;ENSG00000135341
MAPK;ENSG00000055208;ENSG00000135341
MAPK;ENSG00000102871;ENSG00000127191
MAPK;ENSG00000102871;ENSG00000164305
MAPK;ENSG00000115594;ENSG00000172936
MAPK;ENSG00000172936;ENSG00000184216
MAPK;ENSG00000127191;ENSG00000100324
MAPK;ENSG00000184216;ENSG00000175104
MAPK;ENSG00000175104;ENSG00000100324
MAPK;ENSG00000100324;ENSG00000175104
MAPK;ENSG00000184371;ENSG00000182578
MAPK;ENSG00000133818;ENSG00000078061
MAPK;ENSG00000078061;ENSG00000169032
MAPK;ENSG00000078061;ENSG00000126934
MAPK;ENSG00000085511;ENSG00000034152
MAPK;ENSG00000085511;ENSG00000108984
MAPK;ENSG00000135090;ENSG00000034152
MAPK;ENSG00000135090;ENSG00000108984
GnRH;ENSG00000164742;ENSG00000288516
GnRH;ENSG00000182621;ENSG00000150995
GnRH;ENSG00000150995;ENSG00000169885
GnRH;ENSG00000182621;ENSG00000154229
GnRH;ENSG00000147437;ENSG00000109163
GnRH;ENSG00000109163;ENSG00000087460
GnRH;ENSG00000087460;ENSG00000164742
GnRH;ENSG00000109163;ENSG00000088256
GnRH;ENSG00000088256;ENSG00000182621
GnRH;ENSG00000169885;ENSG00000070808
GnRH;ENSG00000087245;ENSG00000113070
GnRH;ENSG00000113070;ENSG00000146648
GnRH;ENSG00000146648;ENSG00000177885
GnRH;ENSG00000177885;ENSG00000115904
GnRH;ENSG00000115904;ENSG00000276536
GnRH;ENSG00000276536;ENSG00000132155
GnRH;ENSG00000154229;ENSG00000169967
GnRH;ENSG00000154229;ENSG00000166484
GnRH;ENSG00000154229;ENSG00000243708
GnRH;ENSG00000154229;ENSG00000075651
GnRH;ENSG00000154229;ENSG00000197122
GnRH;ENSG00000154229;ENSG00000120899
GnRH;ENSG00000197122;ENSG00000070831
GnRH;ENSG00000070831;ENSG00000095015
GnRH;ENSG00000154229;ENSG00000157227
GnRH;ENSG00000157227;ENSG00000087245
GnRH;ENSG00000087245;ENSG00000157227
GnRH;ENSG00000288516;ENSG00000128272
GnRH;ENSG00000169967;ENSG00000034152
GnRH;ENSG00000034152;ENSG00000112062
GnRH;ENSG00000095015;ENSG00000076984
GnRH;ENSG00000076984;ENSG00000107643
GnRH;ENSG00000107643;ENSG00000177606
GnRH;ENSG00000197122;ENSG00000146648
GnRH;ENSG00000154229;ENSG00000132155
GnRH;ENSG00000132155;ENSG00000169032
GnRH;ENSG00000169032;ENSG00000100030
GnRH;ENSG00000100030;ENSG00000126767
GnRH;ENSG00000197122;ENSG00000276536
GnRH;ENSG00000100030;ENSG00000120738
ErbB;ENSG00000124181;ENSG00000070808
ErbB;ENSG00000124181;ENSG00000154229
ErbB;ENSG00000121879;ENSG00000275199
ErbB;ENSG00000138798;ENSG00000146648
ErbB;ENSG00000163235;ENSG00000146648
ErbB;ENSG00000109321;ENSG00000146648
ErbB;ENSG00000174808;ENSG00000146648
ErbB;ENSG00000174808;ENSG00000178568
ErbB;ENSG00000113070;ENSG00000146648
ErbB;ENSG00000113070;ENSG00000178568
ErbB;ENSG00000124882;ENSG00000146648
ErbB;ENSG00000124882;ENSG00000178568
ErbB;ENSG00000157168;ENSG00000065361
ErbB;ENSG00000157168;ENSG00000178568
ErbB;ENSG00000158458;ENSG00000065361
ErbB;ENSG00000158458;ENSG00000178568
ErbB;ENSG00000185737;ENSG00000178568
ErbB;ENSG00000169752;ENSG00000178568
ErbB;ENSG00000146648;ENSG00000129946
